id,text,created_at
1207515268622237696,RT @NBCNews: Analysis: President Trump pays a historic price for doing business his way: Impeachment. https://t.co/Yzj172wFNn,2019-12-19 04:17:29
1206933839941160965,Jesus is the only way https://t.co/IAIG7dOvca,2019-12-17 13:47:05
1206568006198923266,@the_tennisgrl Wow I love your Birthday suit very delicious very beautiful very sexy you look 👀 delicious babe yum yum 😋❤️💋👅👄🌹,2019-12-16 13:33:24
1202790013995347968,Shout out to @souplantation on W Point Loma Blvd in San Diego. No vegetarian soup and we complained and got these f… https://t.co/sbmBhUDBVG,2019-12-06 03:21:00
1209154922970787843,"@Tmcguire_pa As much as you care to bare?!?  🤗 
G'head!",2019-12-23 16:52:53
1207801993693188097,"“They get hands-on lab experience with real science projects,"" Daryl Davies of @USCSchPharmacy said of the high sch… https://t.co/HCJRP8RoPn",2019-12-19 23:16:49
1033021563854094336,".@PillPack  used to be so awesome to work with. Over the last year or so, they have grown to become the worst. I ha… https://t.co/PGuO87iyxp",2018-08-24 16:01:48
1207300448820039682,"Robert Langer has stepped down from Rubius' board, replaced by Anne Prener, former CEO of Freeline Therapeutics and… https://t.co/JgGNSUq5mi",2019-12-18 14:03:52
1204754356823703552,"Vermont Should Legalize Marijuana Sales, Top Health Department Official Says - https://t.co/e08jRofTpG 
#StandUp...",2019-12-11 13:26:36
1211212034517417985,"I feel sorry for people who follow me expecting quality content like buddy, all you're gonna find here is a trash p… https://t.co/gLLZ69BOaa",2019-12-29 09:07:06
1207311397958406144,The latest https://t.co/2S8A0tRp1c.Daily from @carolharnett ! https://t.co/odFIaxT41Y Thanks to @fitaftercancer… https://t.co/A3nQGuVZxW,2019-12-18 14:47:22
1202258299313364995,"👏👏Congratulations, @wmfeorlando! If you donated, thank you! https://t.co/SuP8QupSG8",2019-12-04 16:08:10
1209501169724338178,Send healing and help big God 🙏🏿 https://t.co/EJ7ArB4f8h,2019-12-24 15:48:44
1204402438335336448,"I hope I can get @insp_tv on @PrimeVideo when I dump
@Xfinity",2019-12-10 14:08:12
1090848030268579840,".@coveredca also spent $100 million on advertising. Mandates aren't the answer, and advertising isn't the answer. A… https://t.co/8QF4dohAHZ",2019-01-31 05:43:32
1210681877184602112,"Profitability (or lack of) is constantly a concern with mobile-era marketplaces like DoorDash and Instacart, but ma… https://t.co/NqbN8BrPwE",2019-12-27 22:00:27
1202355798887686144,"RT @tambreleighn: Drinks, hors d’oeuvres, and a panel discussion for #Patients &amp; #Advocates attending #SABCS19. Dec 11th, 5pm-7pm CT, Westi…",2019-12-04 22:35:35
1208431102018244608,"RT @IlhanMN: We’re going to guarantee healthcare with #MedicareForAll.

We’re going to enact a #GreenNewDeal to protect our planet.

We’re…",2019-12-21 16:56:40
1208782506423652354,Drugs That Worsen Heart Failure Common in Hospitalized HF https://t.co/y3zMSTpb7R via @medscape,2019-12-22 16:13:02
1202260160191909888,"VerifyTX - On Demand Instant Insurance Verification - 24/7/365
https://t.co/0Uh1ot6yY1",2019-12-04 16:15:33
1202662477789421569,"RT @lenapple: @JoeBiden Not my first choice by a long shot, but I will vote for Joe Biden, I will campaign for Joe Biden, I will knock door…",2019-12-05 18:54:13
1206707187701043200,"RT @RichardEGrant: Took inspiration from the late, great Peter Cushing in @starwars A NEW HOPE to play Allegiant General Pryde in #RiseofSk…",2019-12-16 22:46:27
1207394307470172162,@HotnsxyJessie Wow babe I love it yumeeeeeeeeeee very delicious very beautiful very sexy lady yum 🌹🥰😈😍♥️,2019-12-18 20:16:49
1201549379817086978,"RT @Well_Regulated_: 20 members of our well regulated militia gather to hunt for pheasants. A few of them open fire on a pheasant while ""re…",2019-12-02 17:11:10
1202296266283266048,"@Simone_Biles @CLcecile Yes, no doubt Simone, assuming they yours so thank y'all for training the best.. &amp; God bless you.",2019-12-04 18:39:02
1201208747470798848,RT @mindbodythought: @NLPChris Thanks Chris.  I appreciate the support.  Somehow I want to start supporting and promoting authors I connect…,2019-12-01 18:37:37
1206607778858622977,Thanks to our partners &amp; team members for sharing their insights on our blog this year! Read our top 2019 articles… https://t.co/Mu4GdMKbKB,2019-12-16 16:11:26
1209950478710296576,RT @Berti_and_Ernie: And they say you can't see love... #dogsarelove https://t.co/kx9cnuLKSj,2019-12-25 21:34:08
1209909426016149504,"RT @HonorDecency: @mkraju No thanks, would-be 'Dear Leader.'  We will not follow the path you have set for us. Those pretty words are fake…",2019-12-25 18:51:00
1209916284948885509,"He got her a ""beautiful card"" ... And that's all you need to know about Trump.🙄

#MerryChrismas 🎄#BeBest #BeGone 

https://t.co/CXguuChb8K",2019-12-25 19:18:16
1206019607070486528,"Never heard of that fat waste of life .  Trump supporters are winning 
Wolverines (do you understand?) https://t.co/8yurj5OXs1",2019-12-15 01:14:15
1020745312351268866,Can't get a good night's sleep? These medications may be the cause of your night terrors and nightmares. https://t.co/pY5KZrILFL,2018-07-21 19:00:21
1208163518299754496,RT @stevenfurtick: Faith is a focus. https://t.co/NKp3hVdWLa,2019-12-20 23:13:24
1208762566190784514,@curlyandelegant Miss Universe looks like actual royalty. Love that photo of her. So much class but so fierce♥️,2019-12-22 14:53:48
1208168196286533632,So excited to join @NationalCSP first @UCSF cohort! Can't wait to meet @suenlw @vidyaeswaran Jose Gutierrez and Ali… https://t.co/LHLjnwGPFx,2019-12-20 23:31:59
1205699943991779328,"Where I am right now.
Fucking HATE the “holidays”...
🤬
#aggression #rage #pain #hate #holidays #insanity… https://t.co/JCktdo8SVu",2019-12-14 04:04:02
1204566530534584321,"🔁#NewMexico CD2 #Election2020-Nov-3

Support XOCHITL TORRES SMALL #NM02,&amp; @DemsWork4USA
👉https://t.co/YHS3oiXCmH

R… https://t.co/yLfykH3SkE",2019-12-11 01:00:15
1204843412370780160,Insurance Companies Ask Supreme Court For $12 Billion In Obamacare Losses | The Daily Caller https://t.co/4nmqYnTnDw,2019-12-11 19:20:29
1204205458199916549,Wednesday is the final live session for #DigitalHealth @TuftsPHOnline - students will present their #DesignThinking… https://t.co/WOcIBDRTIm,2019-12-10 01:05:28
1206216861572055040,RT @JohnLeksander: Court Ruling Confirms Merck's Gardasil HPV Vaccine Kills People - Did Anyone Even Notice? https://t.co/Wu5lANloTc,2019-12-15 14:18:04
1207290184238272512,Bravo @NoamLevey! His story tells how one union saved an enormous amount of money by refusing to use hospitals that… https://t.co/29HwKDuIGT,2019-12-18 13:23:04
1203895674351345664,"“It is possible to hear something quite different by ceasing to love the noise of our own minds.
Never fear to see… https://t.co/0ciRJyW0Cq",2019-12-09 04:34:30
1206409319186452481,RT @TedyBruschi: Just not surprised by awful officiating any more.  Numb to it.  Wait till a teams season is ended by it in the playoffs.…,2019-12-16 03:02:50
1204986960701321216,@chemobrainfog @AmyPricePhD @stales @amos18 Very well deserved Alicia!,2019-12-12 04:50:53
1204043292490514432,"RT @novascripts: When U hear that being poor is an expensive way 2 live, here is 1 reason Y. Those without insurance are usually required 2…",2019-12-09 14:21:05
1022610323189059590,"Hey @GoodRx, do you have a partnership with QuickCare pharmacy?",2018-07-26 22:31:14
1203076549525659648,The U.S. winter flu season is off to its earliest start in more than 15 years. (via @statnews @AP) Find a flu shot… https://t.co/kuEGZ32Cxu,2019-12-06 22:19:36
1201954313565851649,".@Healthcare_ABC Chairman, President and CEO Steve Collis has affirmed, “We are united in our responsibility to cre… https://t.co/78g1ykpxOu",2019-12-03 20:00:14
1208868393459363842,"RT @kanebrown: Why do families fall apart, why do good hearts have to break, why does heaven feel so far, and why do people fade away ❤️",2019-12-22 21:54:19
1204957824771485697,"Yeah, my man you say the TRUTH. https://t.co/syB8KGBbAq",2019-12-12 02:55:07
1205726246858039297,@GooglePlay @Google I believe this #YouTube #movie rental price is incorrect? Promo Code? #CustomerService https://t.co/6CXPGLwMsr,2019-12-14 05:48:33
1207105732459450368,Outstanding!!!  Kudos to All!! https://t.co/Uxpx1ozbEH,2019-12-18 01:10:08
1202272398029901824,Thank God 🙏🙏🙏 https://t.co/BNjzCcX7yZ,2019-12-04 17:04:11
1207824630792081408,RT @devdevnumnums: it is so hard to be in love with a straight man in this economy,2019-12-20 00:46:46
719878460961857536,@johnbrownstein Thank you for your support.  We are doing everything we can-- Stay tuned!,2016-04-12 13:22:54
1203010703533068288,Love to me looks like _________ *fill in the blank*,2019-12-06 17:57:57
1004529927071428609,@itssharayia YES! 🔥🔥 GoodRx discounts can sometimes beat insurance prices – always check if there's a lower price!,2018-06-07 01:06:12
1208403420316614656,"Love waking up early Saturday, realizing it's not a work day, then going back to sleep for a couple of hours. https://t.co/FSL30xe1vy",2019-12-21 15:06:41
1205588260183040001,@Fallabel What’s dental insurance? That’s amazing,2019-12-13 20:40:14
1211693990208327680,No More Overwhelm: Free PDF Will Walk You Through the Steps You Need to Manage Your Time Effectively ~… https://t.co/ScGGO09cs7,2019-12-30 17:02:14
